Loan.Id,Current.Loan.Amount,Term,Credit.Score,Years.in.current.job,Annual.Income,Monthly.Debt,Years.of.Credit.History,Number.of.Credit.Problems,Current.Credit.Balance,Maximum.Open.Credit,Loan.Status
31,11588,1,718,5,63745,350.07,9.2,0,3491,7318,0
32,23942,0,718,10,84796,1095.28,15.5,0,3831,4988,1
33,8158,0,732,10,61188,1101.38,23,1,6436,11514,1
34,10075,0,-1,5,-1,674.35,14,0,11276,12599,0
35,11732,0,743,1,53774,384.48,22.5,1,12671,55820,1
36,30078,1,695,10,148385,1681.69,18.5,0,22469,72482,0
37,4898,0,722,1,117346,226.87,25.5,1,283,4791,1
38,6820,0,722,8,34476,775.71,13.8,0,33069,35292,1
39,32209,1,-1,9,-1,1527.68,30.2,0,34770,65728,0
40,4965,0,743,10,115188,1699.02,21.6,0,34614,59169,1
41,8887,0,722,10,35546,906.43,14.9,0,13950,23604,1
42,100000000,0,742,7,98660,887.94,21.5,1,10819,24644,1
43,6278,0,741,1,81672,1994.15,24.7,0,23824,29232,1
44,19552,0,-1,7,-1,421.25,16.9,0,19579,33129,1
45,7899,0,-1,6,-1,652.69,15.4,0,10212,14609,0
46,100000000,0,736,10,83725,907.02,23.7,1,6543,9361,1
47,12298,0,-1,10,-1,1268.19,23.5,0,15073,41295,1
48,14675,0,-1,5,-1,1059.42,9.3,0,5653,38983,1
49,3928,0,-1,6,-1,160.08,18.4,0,6344,13853,1
50,100000000,0,751,4,145499,2036.98,21.4,0,13211,43173,1
51,14155,0,743,1,58980,1012.49,15.8,0,19240,56258,1
52,100000000,0,738,8,118632,1819.02,18,0,24846,31652,1
53,20656,0,726,10,98360,1278.68,17.1,0,6056,7774,0
54,9981,0,-1,10,-1,686.69,10.7,0,6305,46704,0
55,20279,1,-1,10,-1,1474.38,32.6,0,50704,85505,0
56,9911,0,719,2,49559,685.56,15.8,0,750,3277,1
57,21795,1,680,10,106996,1551.44,12.8,0,35524,58620,1
58,18432,1,-1,10,-1,1420.29,27.4,0,24270,36941,0
59,4959,0,719,4,124967,1812.02,14,0,24549,32344,1
60,15775,1,672,5,46736,915.26,8.7,0,8012,9916,1
61,24466,0,-1,10,-1,590.82,17,0,5842,14284,1
62,5204,0,746,1,46149,77.69,21.7,1,2788,10805,1
63,10141,0,693,1,79100,181.27,7.6,0,6640,8819,1
64,12322,0,724,9,35930,733.56,11.1,0,5444,6979,1
65,4764,0,741,6,79408,985.98,36.2,0,6158,7885,1
66,10814,0,723,-1,52915,1049.48,30.3,0,28471,44836,1
67,100000000,0,734,7,54118,487.06,13.9,0,2989,5618,1
68,35676,1,664,10,254825,1191.31,24,0,7885,9581,0
69,12241,0,-1,10,-1,788.34,23.8,0,20005,51962,1
70,1948,0,742,5,28328,757.76,10.8,0,2771,23092,1
71,100000000,0,750,2,85068,801.06,20.9,0,4218,8505,1
72,15704,1,698,10,50057,871.82,28,0,19869,22811,0
73,14763,0,709,8,88578,1831.35,22.3,0,33750,40131,1
74,20334,1,-1,8,-1,1119.47,15.9,0,29631,79015,1
75,17750,0,-1,10,-1,1004.59,23,0,2974,25204,1
76,34276,0,678,1,146895,1407.74,15.7,0,1656,11040,1
77,9886,0,-1,6,-1,517.09,13.7,0,16658,21086,1
78,10047,0,709,10,60282,522.44,14.5,0,23218,53130,1
79,18599,1,728,5,58734,974.01,12.5,0,4594,26402,0
80,100000000,0,742,5,105137,711.42,8.2,0,12570,22015,1
81,7934,0,-1,6,-1,333.66,19.8,0,258,85956,1
82,7970,0,697,8,114364,1629.68,29.4,0,4383,14049,1
83,5989,0,737,10,57890,969.65,30.5,0,25529,41511,1
84,4954,0,711,6,103005,388.85,16.5,0,10881,23655,1
85,20142,1,741,9,65462,971.02,13.4,0,7547,44924,0
86,5100,0,-1,-1,-1,1142.45,16.9,0,19351,28626,1
87,7025,0,732,10,32464,646.57,11.6,1,6914,16079,1
88,9919,0,742,1,81336,847.25,7.9,0,12389,15564,1
89,14952,0,-1,5,-1,873.4,20,0,10015,24249,1
90,20160,0,-1,9,-1,2822.4,33.4,0,53049,65655,1
91,11992,0,743,5,37977,667.45,19,0,9660,26466,1
92,34332,1,740,2,88281,64,25.5,0,2365,71666,1
93,12097,1,723,10,70567,1205.52,15.8,0,32573,39918,1
94,35511,1,629,10,202920,3331.27,19.6,0,69016,117574,1
95,35847,0,-1,10,-1,2227.64,17.5,0,52172,79530,1
96,24435,1,681,2,92853,271.6,20,0,11364,34437,1
97,5967,0,743,10,86522,1788.11,25.6,0,42429,70248,1
98,24496,1,677,10,55037,422.41,24,0,11189,25372,1
99,3572,0,699,-1,60372,654.03,40.5,0,16362,25848,1
100,15365,0,732,10,56337,751.15,17.3,0,6389,13118,1
101,12198,0,699,1,116898,789.06,24.2,0,10872,11278,0
102,16326,1,746,1,97958,456.32,11.4,0,4537,43207,1
103,14230,0,697,10,63017,1055.53,18.8,1,22362,35050,0
104,9641,1,731,1,28120,371.66,12.7,0,2161,21613,1
105,7267,0,739,1,38858,602.3,11.6,0,9941,19684,1
106,10792,0,-1,6,-1,718.82,5.9,0,9471,20193,1
107,2472,0,-1,10,-1,508.62,30.2,0,15638,31028,1
108,10124,0,731,1,60744,799.8,6.5,0,14164,18516,1
109,18158,1,-1,5,-1,1224.01,12.1,0,20886,44063,0
110,15054,0,-1,6,-1,1168.19,14,0,19294,29502,1
111,9922,0,742,1,101204,436.87,17.6,0,25578,39655,0
112,11954,0,-1,2,-1,772.06,13.1,0,12122,14144,1
113,10072,1,661,4,65468,289.15,17.9,0,6078,52401,0
114,10032,0,736,1,56179,1198.49,23.7,0,11150,18770,0
115,9817,0,718,8,37305,640.39,11.3,0,11397,13748,0
116,27614,0,654,10,113413,1417.66,17.5,0,18344,20115,1
117,6675,0,-1,5,-1,1126.03,10.3,0,8926,10767,1
118,35525,0,746,5,103530,1190.6,39.8,0,37052,90813,1
119,4112,0,749,10,86935,746.19,15.3,0,10911,34311,1
120,6419,0,743,-1,28081,606.08,12.5,0,2863,7123,1
121,6673,0,-1,10,-1,795.39,19.4,0,5729,33898,1
122,16253,0,743,10,66027,320.78,22.4,0,9957,31018,1
123,12514,0,-1,8,-1,970.07,23.9,0,25093,40212,1
124,15189,1,710,9,91134,1078.42,15.9,0,12962,36006,1
125,10722,0,746,2,67025,730.02,31.7,0,19113,76760,1
126,15030,1,-1,4,-1,647.54,5.5,0,11492,33700,0
127,1177,0,748,8,53933,669.67,10.2,0,1610,22364,1
128,100000000,0,721,9,63073,541.38,23.6,0,4901,4986,1
129,100000000,0,746,10,137269,1047.82,32.4,0,12586,70312,1
130,18241,1,635,3,243216,1412.68,17.8,0,15710,25016,1
131,24552,1,683,1,127875,1236.12,17,0,17159,21886,1
132,8164,0,722,10,51025,680.34,17.5,0,10950,17136,1
133,2999,1,-1,5,-1,246.88,10.6,0,2514,4101,1
134,9916,1,669,6,35698,571.16,17.7,0,9225,11209,0
135,16154,0,738,10,58557,471.87,17,0,10505,38199,1
136,14931,1,707,3,55742,668.91,7.8,0,6159,7660,0
137,9821,0,697,3,58926,688.45,12.3,0,4058,8350,1
138,20857,0,679,10,78340,907.44,23.2,0,8118,12207,0
139,8307,0,-1,3,-1,547.14,12.8,0,6454,9354,1
140,17217,0,-1,5,-1,2690.1,24.7,0,54712,81660,1
141,35378,0,680,7,131404,3460.3,30.1,0,49144,51246,1
142,12774,1,586,1,42783,484.88,11.9,0,14129,16222,0
143,12974,0,750,2,81836,1138.89,15.1,0,10173,24631,1
144,15339,1,725,10,91011,1145.23,18.9,1,2146,8384,1
145,18702,0,-1,5,-1,1849.45,20.2,0,32522,48038,1
146,100000000,0,747,10,77197,862.03,20.9,2,14661,18893,1
147,29595,1,663,1,157840,2696.43,15.1,0,22963,27467,0
148,15477,1,691,10,41004,1103.69,15.9,0,8196,10507,1
149,5492,0,687,4,51090,1226.16,12.5,0,6446,9507,0
150,10984,0,-1,10,-1,582.07,25.4,0,10167,12582,1
151,25443,1,-1,8,-1,1892.08,17.4,0,48223,54674,0
152,16667,0,-1,1,-1,2324.61,27.2,0,13735,22891,0
153,15377,1,649,9,48020,708.29,7.6,0,13504,20215,1
154,100000000,0,729,1,47496,609.53,10.2,0,7250,8011,1
155,29886,1,697,10,83681,1164.56,10.5,0,1558,6282,1
156,29376,1,-1,10,-1,645.46,27.3,0,12897,25640,0
157,13097,0,740,5,51160,814.29,21,0,10035,26687,1
158,9722,0,-1,6,-1,395.52,10,0,16290,21238,0
159,15273,1,678,10,61500,1373.5,19.7,0,4462,5025,1
160,22251,1,-1,4,-1,2068.44,21.9,1,13101,19820,0
161,100000000,0,719,10,39616,412.67,30,1,5307,16032,1
162,100000000,0,742,10,59952,1049.16,14.9,0,5622,21793,1
163,34483,0,719,7,91986,2529.61,26.4,0,50450,80979,1
164,11755,1,666,10,81307,1612.59,11.4,0,33880,43381,0
165,12114,0,726,8,78741,648.96,19.2,1,19923,22311,1
166,5351,0,-1,1,-1,1046.08,12,0,0,0,1
167,100000000,0,718,8,70266,1106.69,14.7,0,14292,15253,1
168,10196,0,739,4,42823,727.99,12.5,0,4992,8774,0
169,100000000,0,741,5,35242,169.16,13.5,0,1870,24937,1
170,13172,0,745,1,77003,1122.96,13.7,0,15602,27087,1
171,19856,0,-1,1,-1,724.74,34.5,0,22005,25411,0
172,20964,0,722,1,85672,1549.22,15,0,26880,34155,1
173,3485,0,696,3,19774,629.48,17.7,1,8867,15028,1
174,11702,0,739,10,54611,946.6,29.1,0,10090,34794,1
175,7903,0,-1,4,-1,440.44,9.5,0,6339,13633,1
176,19790,1,657,-1,81240,19.63,16.5,0,0,0,1
177,28908,1,666,10,71525,1205.79,18.2,0,21698,24435,0
178,24803,1,-1,-1,-1,1490.8,41.9,0,31680,91296,1
179,3909,0,-1,8,-1,877.85,10.3,0,14521,19703,1
180,27384,1,720,2,92910,1122.67,22.6,0,16678,21409,1
181,27966,0,707,2,124850,659.63,10.9,0,10580,16688,1
182,16108,1,614,2,53774,1236.79,7.9,0,9937,10663,0
183,12275,0,744,9,70560,1599.36,26.7,0,14966,26534,1
184,12278,0,713,1,42974,931.11,9.3,0,13021,21812,0
185,12238,0,-1,1,-1,1006.21,14.2,1,9429,17238,1
186,15144,0,750,10,100960,1396.61,23.3,0,17052,27240,1
187,100000000,0,718,5,28531,696.64,16.5,0,9380,11919,1
188,7621,0,-1,4,-1,1643.95,31.5,0,42833,59408,1
189,8386,0,741,4,39932,742.07,10.5,0,5491,18549,0
190,16181,0,746,10,60678,965.79,23,0,23398,32543,0
191,20462,1,695,2,102310,475.74,17,0,4063,8718,0
192,8603,0,742,10,25083,244.55,19.6,1,11331,22218,1
193,7510,0,739,10,54070,1252.63,14,1,4802,18541,0
194,7209,0,-1,5,-1,546.18,21.4,0,10886,20272,1
195,4908,0,-1,2,-1,826.42,19.5,0,10392,10403,1
196,15243,1,-1,2,-1,643.59,19.8,0,18130,30677,0
197,6098,0,728,2,71148,193.88,21.8,2,4119,7115,1
198,100000000,0,739,6,53471,548.09,19.6,1,6043,86325,1
199,28420,0,721,10,81200,1502.2,29.3,0,45406,68383,1
200,100000000,0,713,4,64825,1112.83,27.8,0,4046,8853,1
201,9870,0,744,10,54835,767.69,19.3,0,24814,45447,1
202,9167,0,720,5,38707,435.45,9.1,0,6535,12740,1
203,6080,0,722,10,34557,518.35,20,0,13469,15809,1
204,12239,1,-1,4,-1,1043.36,20.3,0,14472,17127,0
205,100000000,1,675,5,69818,1570.91,14,0,15055,18248,1
206,34744,0,-1,10,-1,1371.47,39.5,0,33741,57974,1
207,11759,0,742,10,97990,1282.03,28.9,1,3138,18456,1
208,12185,1,715,4,88340,1199.95,30.6,0,52952,54533,0
209,25075,1,614,10,105315,795.13,23.4,0,27292,28547,1
210,18596,0,751,7,58878,464.15,15.1,0,3942,15705,0
211,100000000,0,738,10,69346,1254.02,20,1,302,1533,1
212,15819,1,625,10,43503,1051.31,20.6,0,16003,18001,0
213,1221,0,749,4,32547,404.12,33.5,0,13498,83321,1
214,21185,1,716,10,53944,970.99,23.7,0,12914,17547,1
215,11735,0,-1,10,-1,1298.58,16.1,0,13805,39899,1
216,4779,1,-1,10,-1,106.54,25.1,1,3667,5180,1
217,18092,0,-1,10,-1,1410.63,20.6,0,27440,46350,1
218,17182,1,683,5,111177,2306.92,15.1,0,16649,22439,1
219,981,0,723,10,58866,1250.9,27.7,0,990,8319,1
220,6301,0,722,-1,14345,283.32,20.9,0,3030,8560,0
221,997,0,-1,10,-1,808.36,38,0,10562,12756,1
222,100000000,1,688,10,47126,1064.27,19.2,0,24446,24843,1
223,20389,0,704,10,48629,1021.2,24.7,0,24298,39703,0
224,9674,0,749,1,66508,1008.71,14.3,0,4447,12889,1
225,6739,0,742,1,59028,1165.8,20.5,0,26968,40737,0
226,14311,1,705,4,45999,436.99,9.5,0,7380,10727,1
227,100000000,0,733,10,76545,663.39,15,2,4399,28750,1
228,11754,1,724,10,47016,912.89,15,0,16101,29169,0
229,100000000,0,727,3,29673,590.99,6.5,0,7084,18210,1
230,20637,0,747,10,157232,1180.55,32.9,0,31098,51916,0
231,8348,0,732,1,25044,386.09,12.8,0,10911,19142,1
232,3358,0,-1,2,-1,591.22,14,0,3408,16073,1
233,12152,0,742,5,92097,1243.31,17.5,0,3336,6753,1
234,16673,0,746,10,125609,2512.19,30.8,0,26483,56952,1
235,7173,0,-1,10,-1,1846.77,21.7,0,35340,50922,1
236,2529,0,747,10,48562,335.88,17.7,0,11169,15775,1
237,15272,0,739,4,44796,862.33,10.5,0,14374,45776,1
238,6210,0,706,1,59616,993.6,19.7,0,10553,11027,0
239,100000000,0,742,6,53911,306.39,9.7,0,11934,31078,1
240,11839,0,736,1,59196,547.56,11.4,0,4833,8290,1
241,12220,0,734,2,61098,926.65,20.6,0,44017,118644,1
242,100000000,0,736,10,59154,532.39,28.8,0,11842,33451,1
243,18852,0,706,10,61275,776.14,10.5,0,13588,36235,0
244,9785,0,701,10,127205,945.55,15.3,0,6751,21162,1
245,100000000,1,719,2,50335,1400.99,8,0,20229,50071,1
246,12037,0,729,10,60186,445.38,22.8,1,8528,14858,1
247,17455,0,-1,6,-1,1023.75,19.8,0,22638,24316,1
248,13920,1,726,3,39772,424.24,9.7,0,1122,10581,0
249,19590,0,728,8,74896,1086,17.8,0,971,2839,1
250,5937,0,712,8,35127,679.12,12.8,0,5425,5441,1
251,23467,1,678,2,82135,1149.89,26.6,0,26804,66021,1
252,24743,0,720,10,79176,989.7,12.8,0,20799,32447,1
253,17741,0,741,-1,67966,1149.75,25.1,0,19326,66186,0
254,21191,0,750,3,151365,1387.51,24.5,0,18838,43505,1
255,3905,0,718,1,40028,510.36,12.1,0,14796,17284,1
256,12258,0,735,10,81720,456.95,26.3,0,18731,32074,1
257,25003,1,719,10,55957,624.86,18.1,0,25694,34078,0
258,11480,0,-1,1,-1,565.63,13.2,0,6840,9144,0
259,8871,0,-1,3,-1,242.36,9.2,0,7921,9852,1
260,11872,1,715,1,39572,623.26,12.1,0,6520,12165,0
261,24211,1,713,6,72634,1852.16,10.3,0,29903,41880,1
262,13206,1,614,6,50960,237.39,12.5,0,5539,6471,0
263,100000000,0,740,1,26627,576.93,10.9,0,5649,12637,1
264,8496,0,712,4,37574,619.97,15.6,0,11916,17498,1
265,13810,1,659,1,42415,668.04,5,0,3374,7600,1
266,31674,0,746,3,168266,1542.44,15,0,29335,77400,1
267,21586,0,-1,10,-1,2061.01,29.6,0,23229,23417,0
268,19327,0,-1,10,-1,1399.5,25,0,37179,40677,1
269,29872,0,702,6,78840,729.27,15.2,0,6887,7880,1
270,11151,1,709,4,106439,2740.79,22.7,0,4827,7194,0
271,20016,0,717,10,88070,1335.74,23.8,0,24109,33209,1
272,10054,0,729,6,38205,977.42,14.5,1,9515,17206,1
273,11055,0,721,10,40819,239.47,14.7,0,8584,15750,1
274,11960,0,750,3,75749,509.41,17,0,1313,39777,1
275,6984,0,727,2,26507,563.27,9.5,0,5012,11212,0
276,25742,0,613,10,143840,1078.8,11.2,0,11479,21337,0
277,32595,1,686,10,81488,669.56,27.8,0,10204,11504,1
278,6361,0,724,10,73395,789,16,0,11721,14190,1
279,4795,0,-1,1,-1,508.87,7.7,0,5071,6655,1
280,100000000,1,731,1,85442,1374.19,14.9,0,11930,13374,1
281,27737,0,-1,10,-1,5778.5,25.8,0,123865,231091,1
282,9792,0,707,2,44064,705.02,43,0,10332,12724,1
283,9781,0,701,10,36190,937.92,18.1,0,23834,30914,1
284,7007,0,735,10,70070,799.97,27.5,1,5227,7007,1
285,34265,1,692,5,78320,1918.84,26.5,0,32381,67181,1
286,35007,1,704,6,250050,989.78,13.5,1,16030,23233,1
287,5896,0,745,2,24565,354.15,8.9,0,6127,12982,0
288,100000000,0,720,10,38095,965.08,14.3,3,2436,4312,1
289,18950,0,738,10,92778,334.77,16.8,0,345,26573,1
290,12719,0,-1,8,-1,386.22,26.7,0,8038,19463,1
291,28323,1,624,10,74807,1066,16.7,0,12817,18414,0
292,16123,1,-1,10,-1,1334.78,18,1,8634,13597,0
293,9949,0,742,1,74618,970.03,14,1,15546,20191,1
294,8420,0,747,10,72173,926.22,24.4,0,3466,12248,1
295,17501,0,-1,4,-1,1064.75,23.1,0,36731,53937,1
296,4138,0,-1,10,-1,1585.63,21,0,5005,11221,0
297,100000000,0,727,10,98386,1123.24,12.6,0,12741,16376,1
298,20134,0,-1,6,-1,754.69,14.6,0,11228,22145,0
299,10023,0,699,10,42097,438.51,13.4,1,3932,5313,1
300,100000000,0,721,1,32682,424.86,14.9,0,6094,19224,1
301,12044,1,737,10,53973,967.02,15.3,0,20788,53715,0
302,16163,0,748,1,66673,744.52,36.8,0,1655,8274,1
303,9593,0,-1,5,-1,676.2,13,0,7296,13586,1
304,7359,0,661,2,36182,771.89,26.5,0,1998,4440,1
305,3997,0,740,1,37973,105.06,13.5,0,4566,9394,1
306,7876,0,-1,7,-1,1198.35,19.5,0,2428,3353,1
307,7870,0,734,1,93461,675.26,15.8,0,18755,24485,1
308,15059,0,709,10,85332,988.42,18.2,0,17370,19672,0
309,5985,0,715,2,32918,263.34,19,0,11152,15663,1
310,15675,1,686,10,35269,490.83,13.4,0,6549,7058,1
311,20887,0,-1,8,-1,2034.86,25.6,0,23357,69515,0
312,100000000,0,730,-1,37593,701.74,19.9,0,22690,29699,1
313,14987,0,-1,2,-1,834.25,33,0,14092,57285,1
314,25160,0,748,3,60384,1504.57,29,0,332524,1452068,1
315,17834,0,740,7,45577,922.93,12,0,13030,22085,1
316,26444,1,589,8,73523,1194.74,17.9,0,18835,25765,1
317,5935,0,730,5,86060,1054.24,21,1,15299,31939,0
318,30327,1,-1,1,-1,673.52,16.6,0,21517,61302,1
319,12028,0,721,5,120276,1012.32,9.5,0,11978,19351,1
320,100000000,0,750,9,74183,297.97,16.8,0,13349,85569,1
321,12048,0,-1,10,-1,1067.35,20.8,0,13988,17774,1
322,100000000,0,705,1,41738,285.21,11.9,0,8123,16679,1
323,4707,0,727,1,47069,230.64,14.9,0,2858,2944,1
324,19590,0,687,10,68565,1628.42,33.1,0,31970,35961,1
325,14849,0,690,5,73755,903.5,11.9,4,4090,11994,0
326,100000000,1,718,10,77805,1471.81,15.6,0,3761,3992,1
327,14739,0,-1,5,-1,378.63,5.2,0,12028,48112,1
328,11259,0,735,3,34265,88.24,20.5,0,4407,20988,1
329,4446,0,744,10,50393,171.76,17.7,0,554,2474,0
330,14898,0,739,6,44216,397.94,15.6,0,8345,25211,1
331,9074,0,704,4,37829,778.64,8.6,0,10032,12370,1
332,6650,0,-1,7,-1,287.34,13.5,1,5152,15426,1
333,24998,1,676,10,67993,1240.88,16.7,0,22748,28904,1
334,10092,0,745,-1,64155,510.57,21,0,5224,16275,1
335,7351,0,680,7,26546,320.77,9.5,0,8837,17674,1
336,29739,0,-1,6,-1,577.74,12.3,0,22050,26858,0
337,100000000,1,719,7,98810,681.79,17.5,1,33371,40697,1
338,8822,0,731,3,55171,822.96,15.7,0,13239,20881,1
339,12429,0,737,2,45941,428.78,11.3,0,18251,29969,1
340,11930,1,709,10,49710,770.51,32.5,0,41873,90049,1
341,12175,0,743,10,81168,683.16,15.1,0,14729,22521,1
342,12018,0,742,10,70105,712.74,13.6,1,11762,16223,1
343,21132,1,701,5,57560,964.14,17,0,21694,36957,1
344,15275,0,-1,1,-1,1009.82,21.2,0,6456,45147,1
345,11999,1,690,4,49995,637.44,12.5,0,7602,10692,1
346,14793,0,724,4,37476,836.96,10,0,5893,21905,0
347,5214,0,-1,10,-1,234.69,19.1,0,1569,20116,1
348,26452,1,-1,10,-1,1504.25,26,0,16564,33873,1
349,8869,0,727,5,73948,261.9,6.7,0,6996,11394,0
350,14697,0,726,4,91121,1419.98,15.5,0,2795,5580,0
351,28134,1,680,4,100480,870.83,19.7,0,9749,20310,1
352,5636,0,708,1,45288,920.86,21.7,0,27765,37118,0
353,3237,0,693,1,70805,510.98,13.7,0,2785,3538,1
354,24817,0,-1,6,-1,1304.91,29.3,0,30663,32971,1
355,16129,1,662,5,33337,711.19,15.8,0,12423,23048,1
356,11934,1,712,10,86820,2423.73,22.7,0,63267,103377,0
357,34570,0,-1,4,-1,1936.71,15.3,0,18888,44652,1
358,19820,1,-1,2,-1,1025.69,15,0,20479,27749,0
359,14991,0,-1,2,-1,171.07,26.5,0,7569,18690,1
360,10050,0,713,4,30150,846.71,13.2,0,11871,15477,1
361,100000000,1,671,6,52005,892.76,10.7,0,11375,20496,1
362,22996,1,661,-1,60318,1809.54,20.8,0,21562,40302,1
363,10151,0,725,9,62936,571.67,26.2,1,6878,26055,1
364,7277,0,-1,-1,-1,646.01,28.1,0,6457,15560,0
365,18140,1,634,2,65234,1060.05,11.8,0,4832,5523,1
366,10063,0,-1,3,-1,763.11,18.2,1,6557,29536,1
367,4006,0,739,1,31050,119.28,9.9,0,1677,11253,1
368,19624,1,-1,7,-1,529.85,27.3,0,9188,9522,1
369,100000000,1,733,7,29421,444.26,11.4,0,9260,10830,1
370,8148,0,749,6,178238,1042.69,27.1,0,7980,135254,1
371,2998,0,715,1,28977,294.59,20.7,1,6825,10798,1
372,9484,0,-1,4,-1,744.21,15.4,3,5089,19647,0
373,100000000,1,681,1,93186,1708.41,14.4,0,27483,43486,1
374,34398,1,668,10,126781,1648.16,14,0,33367,48640,1
375,9721,0,747,6,35441,502.08,21.6,0,10256,11953,1
376,4993,0,730,9,79888,692.36,10.6,1,2703,12811,1
377,100000000,1,715,10,58998,909.55,27.1,0,14323,16425,1
378,23988,1,691,10,107946,1709.15,12.1,0,27214,36481,0
379,20763,1,700,1,69874,167.7,15.2,0,5545,6983,1
380,22178,1,734,2,47525,651.49,27.4,0,17831,44027,1
381,8885,0,746,2,37514,722.14,9.5,0,2199,41500,1
382,4978,0,688,1,14861,209.29,26.4,0,9499,28525,1
383,8839,0,738,4,93300,785.27,18.8,0,31685,38593,1
384,18234,0,742,10,92183,1820.61,17,0,11871,17131,1
385,16587,1,739,-1,48785,748.04,15.8,0,16115,56742,1
386,100000000,0,746,10,111001,2580.77,26.2,0,24444,35737,1
387,6463,0,732,1,25248,633.29,19.9,0,8025,24317,0
388,2193,0,655,3,41463,154.45,10,0,6194,13350,1
389,19760,0,724,1,100776,898.59,11.9,0,10002,32792,1
390,100000000,0,662,5,60708,355.14,12.4,1,13072,16199,1
391,3952,0,718,1,25685,129.49,5,0,4447,9093,1
392,17160,1,728,1,56177,1221.85,32.4,0,3141,59261,1
393,19646,1,741,10,96265,1548.27,20.4,0,49738,114340,0
394,100000000,0,741,10,105294,851.13,13.2,0,16264,32924,1
395,16142,0,-1,2,-1,1047.74,11.9,0,21079,55618,1
396,18266,1,673,2,63932,419.3,19.6,0,5378,5579,1
397,100000000,1,726,10,150525,1072.49,29.5,0,33089,51784,1
398,100000000,1,680,10,87094,1262.86,33.5,0,36390,64867,1
399,4903,0,745,1,40205,398.69,12,0,3220,14249,1
400,100000000,0,742,10,98000,931,11.8,0,14742,18520,1
401,9805,0,741,5,62697,1656.25,34.5,0,20236,27272,1
402,11921,0,-1,6,-1,352.56,23,0,12499,18967,1
403,35343,1,679,2,454410,1317.79,15.6,0,40276,49600,1
404,10179,0,726,7,55985,1185.01,11.5,0,13410,15274,1
405,18421,1,728,10,44006,964.47,22.8,0,10848,21270,1
406,17978,1,-1,5,-1,606.9,17.3,0,25502,47314,0
407,7196,0,724,4,34983,827.92,9.4,0,5796,12683,1
408,17876,0,720,3,83420,1494.62,16.8,0,15756,18959,1
409,100000000,0,699,10,53669,729,18.4,2,10018,19528,1
410,24041,0,-1,6,-1,628.99,14,0,17328,43869,1
411,4989,0,-1,3,-1,742.11,8.7,0,15437,18161,0
412,10565,0,-1,8,-1,526.03,12.4,0,4087,4266,1
413,2943,0,707,7,32762,543.3,17.1,0,2760,9719,1
414,13731,0,747,1,62771,449.33,16,1,13510,22553,1
415,28011,1,-1,1,-1,2957.59,14.5,0,23497,59336,0
416,23786,0,739,10,148665,1672.48,15,2,15176,19332,1
417,15950,0,742,5,53833,1049.74,23.4,0,17522,24818,1
418,100000000,0,733,10,80568,1114.53,27.4,0,32278,60220,1
419,24835,0,701,10,198680,200.34,16.2,0,6090,11133,1
420,12152,0,729,1,36457,1054.22,10.3,0,5753,14905,0
421,100000000,0,716,1,40318,493.9,13.5,0,10334,22614,1
422,2037,0,743,10,52967,147.87,23.8,0,11857,34872,1
423,14358,0,-1,9,-1,633.16,28.3,0,8926,13463,1
424,4548,0,722,8,60505,1200.01,18.5,0,10883,34882,1
425,7085,0,-1,10,-1,1276.38,12.2,0,19944,27934,0
